name,length,head,tail,com,fm,audio,readability
octline,7,oct,line,AVAILABLE,UNVERIFIED,UNVERIFIED,3
ohmform,7,ohm,form,AVAILABLE,UNVERIFIED,UNVERIFIED,3
ohmmode,7,ohm,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,3
sincbar,7,sinc,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,3
sincbit,7,sinc,bit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
sinchub,7,sinc,hub,AVAILABLE,UNVERIFIED,UNVERIFIED,3
sincvox,7,sinc,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,3
wattden,7,watt,den,AVAILABLE,UNVERIFIED,UNVERIFIED,3
audioora,8,audio,ora,AVAILABLE,UNVERIFIED,UNVERIFIED,1
auralaux,8,aural,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
decihifi,8,deci,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
etudeaux,8,etude,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
hifiaura,8,hifi,aura,AVAILABLE,UNVERIFIED,UNVERIFIED,1
hifibyte,8,hifi,byte,AVAILABLE,UNVERIFIED,UNVERIFIED,1
hifimode,8,hifi,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,1
kilohifi,8,kilo,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
resohifi,8,reso,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
sinehifi,8,sine,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
sonicaux,8,sonic,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
sonohifi,8,sono,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
tapehifi,8,tape,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
vinylaux,8,vinyl,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,1
audfield,8,aud,field,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audforge,8,aud,forge,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audhouse,8,aud,house,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audmeter,8,aud,meter,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audtones,8,aud,tones,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audwaves,8,aud,waves,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxfield,8,aux,field,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxmeter,8,aux,meter,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxsense,8,aux,sense,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxsound,8,aux,sound,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxtones,8,aux,tones,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxwaves,8,aux,waves,AVAILABLE,UNVERIFIED,UNVERIFIED,2
clearaux,8,clear,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
crispaux,8,crisp,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
ditherfi,8,dither,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
fiphonic,8,fi,phonic,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacaura,8,flac,aura,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacbyte,8,flac,byte,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flaccast,8,flac,cast,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flaccore,8,flac,core,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacdeck,8,flac,deck,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacdesk,8,flac,desk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacears,8,flac,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacform,8,flac,form,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacgear,8,flac,gear,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flachaus,8,flac,haus,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flachifi,8,flac,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flaclabs,8,flac,labs,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacline,8,flac,line,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacloop,8,flac,loop,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacmode,8,flac,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacnode,8,flac,node,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacpath,8,flac,path,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacroom,8,flac,room,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacsync,8,flac,sync,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacwerk,8,flac,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
forteaux,8,forte,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiears,8,hifi,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiform,8,hifi,form,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiport,8,hifi,port,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiwerk,8,hifi,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,2
klangaux,8,klang,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossaura,8,loss,aura,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossears,8,loss,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,2
omnihifi,8,omni,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
phonhifi,8,phon,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
planarfi,8,planar,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
soundaux,8,sound,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
valveaux,8,valve,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
audgraph,8,aud,graph,AVAILABLE,UNVERIFIED,UNVERIFIED,3
audscape,8,aud,scape,AVAILABLE,UNVERIFIED,UNVERIFIED,3
audscope,8,aud,scope,AVAILABLE,UNVERIFIED,UNVERIFIED,3
audwerks,8,aud,werks,AVAILABLE,UNVERIFIED,UNVERIFIED,3
auxgraph,8,aux,graph,AVAILABLE,UNVERIFIED,UNVERIFIED,3
auxscape,8,aux,scape,AVAILABLE,UNVERIFIED,UNVERIFIED,3
auxscope,8,aux,scope,AVAILABLE,UNVERIFIED,UNVERIFIED,3
auxsmith,8,aux,smith,AVAILABLE,UNVERIFIED,UNVERIFIED,3
auxwerks,8,aux,werks,AVAILABLE,UNVERIFIED,UNVERIFIED,3
canshifi,8,cans,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacflow,8,flac,flow,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacgram,8,flac,gram,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacshop,8,flac,shop,AVAILABLE,UNVERIFIED,UNVERIFIED,3
harmhifi,8,harm,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossbyte,8,loss,byte,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losscast,8,loss,cast,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossdeck,8,loss,deck,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossform,8,loss,form,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossgear,8,loss,gear,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losshaus,8,loss,haus,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losshifi,8,loss,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossmode,8,loss,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossnode,8,loss,node,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossport,8,loss,port,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossroom,8,loss,room,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losssync,8,loss,sync,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losstone,8,loss,tone,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losswerk,8,loss,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,3
nocthifi,8,noct,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
silkhifi,8,silk,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
sinchifi,8,sinc,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
timbrefi,8,timbre,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
warmhifi,8,warm,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
deciaudio,9,deci,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,1
etudehifi,9,etude,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,1
hifimeter,9,hifi,meter,AVAILABLE,UNVERIFIED,UNVERIFIED,1
hifitones,9,hifi,tones,AVAILABLE,UNVERIFIED,UNVERIFIED,1
resoaudio,9,reso,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,1
cansaudio,9,cans,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,2
clearhifi,9,clear,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
ditheraux,9,dither,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacfield,9,flac,field,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacforge,9,flac,forge,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flachouse,9,flac,house,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacmeter,9,flac,meter,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacsense,9,flac,sense,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacsonic,9,flac,sonic,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacsound,9,flac,sound,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flactones,9,flac,tones,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacwaves,9,flac,waves,AVAILABLE,UNVERIFIED,UNVERIFIED,2
fortehifi,9,forte,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
grooveaux,9,groove,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hificraft,9,hifi,craft,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hififield,9,hifi,field,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hififorge,9,hifi,forge,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifigraph,9,hifi,graph,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiscape,9,hifi,scape,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiscope,9,hifi,scope,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifisense,9,hifi,sense,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifismith,9,hifi,smith,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hyperhifi,9,hyper,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
lossaudio,9,loss,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,2
masteraux,9,master,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
noctaudio,9,noct,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,2
phonohifi,9,phono,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
planaraux,9,planar,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
prestoaux,9,presto,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
ribbonaux,9,ribbon,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,2
sigmahifi,9,sigma,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
valvehifi,9,valve,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
auxphonic,9,aux,phonic,AVAILABLE,UNVERIFIED,UNVERIFIED,3
crisphifi,9,crisp,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flaccraft,9,flac,craft,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacgraph,9,flac,graph,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacphile,9,flac,phile,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacscape,9,flac,scape,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacscope,9,flac,scope,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacsmith,9,flac,smith,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacwerks,9,flac,werks,AVAILABLE,UNVERIFIED,UNVERIFIED,3
flacworks,9,flac,works,AVAILABLE,UNVERIFIED,UNVERIFIED,3
hifiwerks,9,hifi,werks,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossfield,9,loss,field,AVAILABLE,UNVERIFIED,UNVERIFIED,3
lossforge,9,loss,forge,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losshouse,9,loss,house,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losssense,9,loss,sense,AVAILABLE,UNVERIFIED,UNVERIFIED,3
